meter_id,id,reading_date,units,voltage,temperature,power_factor,load_kw,frequency_hz,phase,status
MTR0000016,663,2024-12-02 07:26:43.269634,44.902,232.67,35.76,0.93,2.968,50.249,Single,OK
MTR0000017,208,2025-11-08 18:42:05.631632,8.604,246.56,38.25,0.793,9.457,49.748,Three,OK
MTR0000017,678,2025-11-17 22:00:02.990843,25.193,220.32,33.59,0.897,8.97,49.519,Single,OK
MTR0000017,1033,2025-07-09 01:30:08.454702,47.708,240.78,38.57,0.798,6.936,50.192,Three,OK
MTR0000017,1575,2025-10-05 05:54:44.778630,16.096,213.84,27.0,0.808,4.169,49.956,Three,OK
MTR0000017,2453,2025-07-15 03:44:35.785845,33.522,245.51,23.14,0.927,2.433,49.524,Single,OK
MTR0000017,2596,2025-08-27 17:57:00.184172,3.466,229.96,30.56,0.911,4.316,49.825,Three,OK
MTR0000018,443,2024-12-06 05:11:52.944685,48.478,211.69,31.94,0.849,0.575,50.177,Single,OK
MTR0000018,1374,2025-03-16 13:43:08.659250,29.359,215.52,38.92,0.805,4.785,50.44,Three,OK
MTR0000018,2052,2025-08-08 19:03:48.415249,5.927,241.97,23.57,0.923,0.934,49.797,Single,CHECK
MTR0000019,1275,2025-04-11 08:48:47.595665,10.431,231.97,29.51,0.843,8.0,50.188,Single,OK
MTR0000020,838,2025-05-30 11:47:02.316618,42.397,212.84,30.79,0.757,5.147,50.093,Three,OK
MTR0000021,736,2025-08-02 18:34:31.379302,2.213,221.12,38.04,0.797,3.025,49.758,Three,CHECK
MTR0000022,918,2025-08-26 18:38:01.048367,35.72,248.96,24.28,0.945,7.724,49.908,Three,OK
MTR0000022,2375,2025-04-29 12:02:09.768211,37.964,247.6,27.4,0.863,7.309,49.517,Single,OK
MTR0000023,415,2025-07-28 05:14:12.912119,48.914,234.04,24.22,0.764,0.058,49.558,Three,OK
MTR0000023,1426,2025-07-25 10:37:35.207167,49.733,216.05,36.17,0.814,2.431,49.559,Three,OK
MTR0000023,2666,2024-11-29 07:03:59.680442,46.471,231.26,29.88,0.924,6.867,49.573,Single,OK
MTR0000024,432,2025-04-15 04:44:11.344660,11.937,242.01,33.82,0.796,2.162,49.7,Three,OK
MTR0000024,1081,2025-06-24 15:11:00.921492,43.799,224.14,28.81,0.881,5.005,49.98,Three,OK
MTR0000024,2090,2025-04-19 23:24:44.571785,38.06,243.84,33.87,0.784,9.272,50.033,Three,OK
MTR0000024,2206,2025-09-02 03:50:31.018666,4.799,249.9,29.55,0.964,7.081,49.671,Single,OK
MTR0000024,2774,2025-06-06 12:33:26.787480,30.237,225.55,27.34,0.933,3.171,49.546,Single,OK
MTR0000025,510,2025-04-03 23:13:47.497072,22.857,224.3,33.34,0.833,3.887,50.32,Single,CHECK
MTR0000025,706,2025-04-16 06:35:00.952523,25.355,230.42,23.69,0.808,9.194,49.846,Three,OK
MTR0000025,1261,2025-08-21 04:36:22.568560,17.002,223.41,39.33,0.85,2.589,50.006,Single,OK
MTR0000025,1652,2025-07-25 12:27:39.804498,15.581,213.9,31.9,0.991,2.298,50.175,Single,OK
MTR0000026,1096,2025-03-23 07:11:54.162891,29.001,212.07,29.52,0.951,9.322,50.464,Three,OK
MTR0000026,2565,2025-01-12 06:35:17.917866,23.551,218.2,21.69,0.934,3.356,50.4,Three,OK
MTR0000027,2352,2025-08-01 10:43:26.909052,28.405,243.44,23.03,0.931,7.739,49.88,Single,OK
MTR0000028,2620,2025-09-11 06:04:06.721606,12.824,240.57,23.64,0.939,1.839,50.488,Three,OK
MTR0000029,600,2024-12-08 20:21:58.835680,5.501,219.53,26.58,0.996,3.646,49.798,Three,OK
MTR0000029,1014,2025-03-08 16:25:29.377994,16.729,246.66,20.91,0.901,8.289,50.049,Single,CHECK
MTR0000029,1090,2025-10-16 15:27:41.136859,10.359,244.72,28.03,0.897,4.89,49.895,Three,OK
MTR0000030,193,2024-12-23 19:42:29.891265,35.188,233.3,27.48,0.989,0.703,49.895,Three,OK
MTR0000031,1060,2025-03-21 21:07:40.259303,0.867,241.88,34.36,0.89,1.614,50.454,Single,OK
MTR0000031,1791,2025-03-30 09:09:54.255639,2.24,227.49,25.78,0.99,0.878,49.784,Single,OK
MTR0000031,2549,2025-02-08 15:32:56.941920,27.9,224.76,21.58,0.988,1.729,50.263,Single,OK
MTR0000032,444,2025-10-27 23:42:34.187930,17.362,226.76,39.36,0.835,5.516,49.751,Three,OK
MTR0000032,1608,2025-08-19 04:35:47.497800,0.751,241.85,25.15,0.778,3.522,49.839,Single,OK
MTR0000032,2109,2025-03-28 22:58:49.136639,26.736,223.08,21.52,0.872,9.89,50.097,Three,OK
MTR0000032,2295,2025-01-17 17:17:49.865078,22.088,237.28,23.2,0.997,5.521,50.02,Three,OK
MTR0000033,61,2025-06-27 02:28:53.594345,32.607,239.18,33.77,0.787,7.406,49.758,Single,CHECK
MTR0000033,1965,2025-05-04 03:28:57.899555,23.727,222.98,29.85,0.892,9.818,50.421,Three,OK
MTR0000034,943,2025-07-29 20:48:46.186746,49.453,215.83,22.86,0.827,6.72,50.317,Three,OK
MTR0000034,1135,2025-07-20 18:55:41.621932,21.434,237.17,36.24,0.958,8.88,49.612,Three,OK
MTR0000034,1445,2025-10-25 14:46:20.622458,8.73,228.07,35.24,0.825,6.911,49.55,Single,CHECK
MTR0000034,1867,2024-12-16 10:07:05.906953,8.21,237.76,38.83,0.857,1.451,49.65,Three,OK
MTR0000034,1895,2025-11-06 16:32:47.974326,45.032,240.4,28.36,0.922,8.077,49.589,Single,OK
MTR0000034,2023,2025-05-30 03:52:46.383935,28.373,215.66,26.06,0.826,7.17,49.578,Single,OK
MTR0000034,2801,2025-02-20 12:39:36.226316,20.064,232.07,35.87,0.907,7.916,49.904,Single,OK
MTR0000035,1711,2024-11-28 23:59:56.372335,21.226,214.26,34.6,0.843,8.451,49.571,Single,OK
MTR0000035,1822,2025-02-14 23:07:27.789749,3.845,246.15,23.2,0.757,5.028,50.259,Single,OK
MTR0000035,2411,2025-06-03 14:44:21.632733,9.008,246.21,31.57,0.865,1.363,50.197,Three,OK
MTR0000035,2895,2025-07-17 14:48:00.105565,43.201,223.24,35.45,0.886,6.555,50.206,Three,OK
MTR0000036,66,2025-07-20 04:37:26.126662,25.173,245.03,35.17,0.828,3.849,50.14,Single,OK
MTR0000036,388,2025-08-18 13:48:21.207007,44.171,243.85,22.26,0.827,9.231,50.13,Three,OK
MTR0000036,664,2025-04-09 00:02:21.652707,14.376,221.01,21.35,0.873,5.735,49.777,Three,CHECK
MTR0000036,2310,2025-10-20 11:20:54.433613,49.705,245.25,23.3,0.968,5.584,50.306,Three,OK
MTR0000036,2824,2025-10-29 08:55:41.318858,49.505,223.02,25.85,0.999,1.388,49.686,Three,OK
MTR0000037,56,2025-10-18 11:49:52.853608,32.412,218.89,29.53,0.832,7.231,50.147,Single,OK
MTR0000037,453,2025-11-06 22:18:06.946693,9.146,234.13,32.33,0.779,4.523,49.634,Three,OK
MTR0000037,1699,2025-03-28 15:01:04.607018,22.955,215.32,23.71,0.783,0.869,49.609,Three,OK
MTR0000038,646,2024-11-23 12:55:59.915281,18.448,230.99,37.47,0.917,6.843,50.261,Single,CHECK
MTR0000038,1726,2025-10-09 06:57:21.768162,14.531,240.61,23.13,0.794,6.266,49.787,Three,OK
MTR0000038,2362,2025-09-10 11:10:26.477972,11.267,249.61,30.26,0.912,5.763,49.604,Single,OK
MTR0000038,2383,2025-10-19 15:37:55.425378,48.195,247.01,33.66,0.943,3.389,49.996,Single,OK
MTR0000038,2391,2025-02-28 23:00:32.052691,19.302,229.54,21.11,0.93,5.741,50.285,Single,OK
MTR0000039,88,2025-04-28 10:53:10.035264,2.373,246.19,39.78,0.86,3.878,49.628,Single,OK
MTR0000039,366,2024-12-22 19:28:47.144638,25.818,248.83,21.09,0.947,0.164,50.275,Single,OK
MTR0000040,412,2025-04-04 07:50:25.163811,31.964,218.77,26.2,0.95,9.115,49.973,Three,OK
MTR0000040,2154,2024-12-07 21:44:35.986340,7.074,233.36,32.56,0.878,8.419,50.363,Single,OK
MTR0000040,2208,2025-06-15 00:38:10.769831,39.099,247.73,34.08,0.971,2.976,50.425,Three,OK
MTR0000040,2498,2025-01-13 09:11:39.928913,48.696,214.68,27.66,0.84,0.847,49.684,Three,OK
MTR0000040,2738,2024-12-09 11:13:54.709523,12.193,226.32,22.6,0.885,4.942,50.147,Three,OK
MTR0000041,938,2024-12-06 02:12:04.173300,12.389,218.69,26.05,0.901,2.636,49.607,Three,OK
MTR0000041,1237,2025-05-09 20:32:04.771455,0.067,236.14,29.6,0.84,2.343,49.989,Single,OK
MTR0000041,1256,2025-05-02 18:53:11.291464,4.687,244.45,31.11,0.926,5.432,50.051,Single,OK
MTR0000041,2986,2025-06-17 06:37:46.042002,40.42,214.16,30.44,0.798,9.189,49.788,Three,CHECK
MTR0000042,377,2025-11-10 01:07:07.403352,27.053,232.14,39.33,0.929,0.079,50.355,Three,CHECK
MTR0000042,635,2025-06-30 20:36:03.185183,42.533,244.47,33.02,0.883,6.941,50.408,Single,OK
MTR0000042,1240,2025-11-09 13:05:46.449238,21.757,223.94,25.79,0.777,7.836,49.942,Three,OK
MTR0000043,187,2025-09-23 19:03:38.757946,9.847,228.0,21.54,0.79,5.886,49.961,Three,OK
MTR0000043,2522,2025-08-05 05:52:43.693850,46.005,224.74,26.39,0.971,5.049,49.578,Single,OK
MTR0000044,994,2024-12-26 14:28:32.248042,7.258,211.57,36.15,0.756,6.334,49.919,Single,OK
MTR0000044,1178,2025-01-14 12:11:28.609162,27.997,247.79,39.26,0.829,9.768,49.524,Single,OK
MTR0000044,2187,2024-12-21 13:31:37.964700,35.605,242.21,31.4,0.955,4.257,49.569,Single,OK
MTR0000044,2741,2024-12-22 05:12:24.007308,43.333,223.57,27.05,0.923,5.695,49.658,Single,OK
MTR0000045,420,2025-03-03 21:16:08.243347,33.323,225.87,23.65,0.906,8.314,50.353,Single,OK
MTR0000045,1877,2025-02-04 20:29:00.944910,9.125,224.69,23.3,0.996,5.31,50.364,Three,CHECK
MTR0000045,2003,2025-05-22 17:26:54.275932,20.784,216.89,38.78,0.953,9.018,50.407,Three,OK
MTR0000045,2236,2025-02-12 07:08:42.749191,46.601,225.8,23.23,0.945,9.441,49.718,Three,OK
MTR0000045,2502,2025-06-21 23:03:17.871190,16.917,238.17,28.5,0.977,4.354,49.836,Single,OK
MTR0000045,2716,2024-12-01 14:34:34.350115,48.247,245.1,31.29,0.801,4.645,49.967,Single,OK
MTR0000046,1376,2025-06-17 01:58:36.801913,27.038,214.37,25.22,0.764,0.708,50.154,Three,OK
MTR0000046,1398,2025-04-28 04:23:23.494447,20.094,220.39,31.81,0.804,4.353,50.328,Three,OK
MTR0000047,1440,2024-11-20 10:12:01.340873,20.891,244.85,23.1,0.971,8.204,49.693,Three,OK
MTR0000047,2642,2025-11-08 10:52:39.434639,23.167,232.64,30.36,0.774,5.503,50.045,Three,OK
MTR0000047,2932,2025-03-14 19:10:04.519346,5.549,232.79,38.63,0.759,5.642,49.668,Single,OK
MTR0000048,710,2025-07-15 17:11:32.685516,3.185,226.19,39.75,0.939,1.292,50.378,Three,OK
MTR0000048,728,2025-07-05 23:39:55.796469,15.301,246.88,33.19,0.982,4.67,49.968,Single,OK
MTR0000048,1326,2024-12-28 04:24:07.584953,31.752,214.4,25.5,0.928,9.157,49.77,Single,OK
MTR0000048,1667,2025-01-02 07:56:43.841892,25.166,215.89,39.27,0.983,3.269,49.547,Single,OK
MTR0000048,1705,2024-11-26 19:40:33.730419,44.588,243.37,20.34,0.926,3.943,49.844,Three,OK
MTR0000048,2926,2025-09-06 23:48:23.121782,29.693,224.64,23.91,0.925,3.319,50.177,Three,OK
MTR0000049,762,2025-09-02 22:37:26.412080,30.481,247.55,25.71,0.868,2.0,49.833,Single,OK
MTR0000049,1799,2025-07-24 09:13:18.410352,25.065,212.77,27.6,0.806,7.124,50.135,Single,OK
MTR0000049,1957,2025-08-07 05:48:17.458276,38.835,217.53,28.6,0.917,0.128,50.376,Three,OK
MTR0000050,1873,2025-10-29 21:04:09.881487,32.983,243.07,20.03,0.844,4.506,50.076,Single,OK
MTR0000051,122,2024-12-31 12:17:45.802650,29.8,241.93,33.71,0.788,5.366,49.935,Single,CHECK
MTR0000051,167,2025-08-21 20:35:36.528655,4.544,239.54,39.91,0.839,0.249,50.336,Single,OK
MTR0000051,381,2025-01-09 11:06:24.345425,31.058,218.15,26.4,0.958,9.878,49.541,Three,OK
MTR0000051,1177,2024-11-27 02:41:09.974773,47.274,239.79,29.43,0.813,5.511,49.613,Three,OK
MTR0000051,1406,2025-06-25 08:06:49.894201,35.406,213.9,30.2,0.772,7.978,50.24,Single,OK
MTR0000052,2222,2025-06-29 17:53:29.533263,27.693,244.79,37.25,0.964,3.609,50.04,Single,OK
MTR0000052,2387,2025-07-11 22:21:14.011559,6.416,234.63,29.3,0.994,5.638,50.431,Single,OK
MTR0000053,2344,2025-02-07 13:31:48.873134,4.893,246.65,35.53,0.884,4.714,50.001,Three,OK
MTR0000054,543,2025-03-02 21:36:24.342307,49.693,235.9,23.61,0.842,7.577,49.74,Single,OK
MTR0000054,623,2025-10-23 03:40:07.220281,25.366,248.84,36.69,0.846,8.864,49.969,Three,OK
MTR0000054,2448,2025-11-09 13:31:30.094794,19.727,217.22,27.89,0.898,7.581,49.6,Single,OK
MTR0000055,430,2025-10-14 04:25:25.571574,49.095,217.66,27.55,0.94,3.262,49.77,Three,OK
MTR0000055,667,2025-10-27 20:04:05.147155,11.006,236.82,33.82,0.829,2.751,49.793,Single,OK
MTR0000055,775,2025-04-12 22:49:33.453192,0.902,244.85,24.75,0.924,2.688,49.757,Three,OK
MTR0000055,1872,2025-01-10 02:21:04.123144,24.34,221.14,29.03,0.982,6.748,49.564,Three,OK
MTR0000056,2190,2024-11-26 00:39:02.465196,47.881,241.0,32.81,0.948,3.141,50.21,Single,OK
MTR0000056,2438,2025-01-02 20:04:47.045435,47.248,235.21,28.89,0.994,6.908,49.641,Single,CHECK
MTR0000056,2897,2025-04-09 15:42:04.736312,1.112,225.81,25.38,0.827,5.908,50.438,Three,OK
MTR0000057,1205,2025-06-12 22:53:11.246822,31.278,225.86,25.75,0.778,1.947,49.896,Single,OK
MTR0000057,2515,2025-03-18 23:48:04.927749,19.417,240.14,31.44,0.774,5.305,50.28,Three,OK
MTR0000057,2688,2025-03-14 09:21:45.969234,17.353,217.51,23.09,0.868,5.333,49.921,Single,CHECK
MTR0000057,2750,2025-06-26 14:24:59.484733,31.792,227.68,20.64,0.769,8.748,50.038,Single,OK
MTR0000058,390,2025-10-05 18:21:46.070453,2.545,220.13,35.26,0.909,3.165,50.413,Single,OK
MTR0000058,993,2025-05-03 01:56:01.195290,12.216,244.19,22.4,0.967,8.48,50.444,Three,OK
MTR0000058,1285,2025-04-10 20:56:15.438083,47.411,232.13,29.89,0.888,4.262,49.991,Three,OK
MTR0000058,1944,2025-04-09 13:08:46.322642,23.111,234.38,37.77,0.813,0.656,49.789,Single,OK
MTR0000058,2439,2025-05-10 19:15:41.086207,38.243,220.38,36.55,0.853,8.295,49.686,Single,OK
MTR0000059,618,2025-07-05 07:04:43.363456,8.153,237.89,30.41,0.914,0.772,50.053,Three,OK
MTR0000059,1636,2025-02-20 11:17:35.425225,29.254,213.87,38.52,0.892,1.28,49.518,Three,CHECK
MTR0000060,1433,2025-10-14 04:58:11.353208,17.248,238.88,30.52,0.996,7.119,50.016,Single,OK
MTR0000061,342,2025-07-26 05:59:07.122840,48.256,235.04,20.41,0.988,5.103,50.472,Three,OK
MTR0000061,1856,2025-02-13 00:45:45.918861,7.554,225.83,39.17,0.964,8.17,50.069,Single,OK
MTR0000061,2278,2024-11-20 04:54:36.555846,28.459,243.93,25.2,0.902,4.009,50.346,Single,OK
MTR0000062,290,2025-07-15 21:33:43.205336,10.806,248.82,28.66,0.785,1.364,49.951,Three,OK
MTR0000062,593,2025-07-21 02:18:32.991743,1.72,239.11,25.48,0.805,0.246,50.04,Three,OK
MTR0000062,971,2025-04-27 22:44:48.912875,15.36,227.48,38.83,0.965,1.207,50.41,Three,OK
MTR0000062,2573,2025-08-13 12:11:57.627979,17.567,220.11,27.35,0.838,9.122,50.167,Single,OK
MTR0000063,532,2025-01-10 04:37:16.811878,30.507,238.29,20.28,0.946,0.238,50.216,Single,OK
MTR0000063,1317,2025-08-17 11:21:05.373832,24.805,245.09,30.01,0.842,8.821,49.518,Single,OK
MTR0000064,258,2025-07-06 11:06:48.702031,41.327,241.81,34.55,0.87,1.293,49.599,Single,OK
MTR0000064,1811,2025-05-03 09:03:46.602929,11.592,244.93,38.99,0.755,3.025,50.259,Three,CHECK
MTR0000064,2115,2025-06-16 07:25:06.713990,46.599,223.09,39.06,0.777,6.824,50.464,Single,OK
MTR0000065,688,2025-01-28 20:48:00.124430,45.735,235.99,31.36,0.92,9.738,49.568,Single,OK
MTR0000065,908,2025-11-14 06:45:12.707008,31.054,217.08,33.95,0.756,7.695,49.618,Three,OK
MTR0000065,1441,2025-10-25 05:43:04.837922,26.471,249.02,20.55,0.875,9.405,50.118,Single,OK
MTR0000065,2076,2024-12-12 20:29:58.446174,45.39,238.13,32.2,0.973,2.291,50.179,Single,CHECK
MTR0000066,672,2025-06-23 20:45:50.331664,45.004,215.41,39.34,0.947,8.534,49.941,Single,OK
MTR0000066,1137,2025-09-04 16:46:27.740039,7.058,232.4,28.86,0.794,6.359,49.591,Single,OK
MTR0000066,1881,2025-04-25 07:40:37.104048,47.827,229.59,30.32,0.985,0.399,49.847,Three,OK
MTR0000067,1904,2025-09-11 19:11:13.742934,45.862,219.38,38.06,0.968,5.74,50.161,Three,OK
MTR0000068,2027,2025-10-03 07:41:41.581927,39.724,216.56,23.66,0.898,1.71,49.535,Single,OK
MTR0000068,2314,2024-12-28 21:26:49.947147,15.366,231.5,40.0,0.907,2.552,49.707,Three,OK
MTR0000068,2463,2025-05-30 20:55:07.998733,8.339,241.87,21.8,0.822,1.214,50.046,Three,CHECK
MTR0000068,2473,2025-09-23 06:34:56.905353,1.961,213.21,23.84,0.864,2.608,50.076,Three,OK
MTR0000069,1845,2025-05-20 02:28:38.721225,21.499,218.67,34.22,0.847,6.021,50.269,Single,OK
MTR0000070,201,2025-07-28 08:55:47.567213,11.593,248.75,28.74,0.953,6.46,50.42,Three,OK
MTR0000070,1551,2025-03-26 08:42:06.031001,34.69,240.24,26.17,0.996,3.811,50.07,Single,OK
MTR0000071,261,2025-02-14 09:19:25.390605,12.684,242.52,21.03,0.926,0.052,49.957,Single,OK
MTR0000071,1723,2025-10-09 20:29:43.290007,33.096,241.62,27.5,0.952,6.181,49.571,Three,OK
MTR0000071,2036,2025-10-13 15:19:39.627301,43.6,216.59,22.9,0.991,8.333,49.593,Three,OK
MTR0000072,927,2025-11-18 05:06:58.462581,34.405,220.2,25.76,0.906,4.953,50.187,Single,CHECK
MTR0000073,1036,2025-08-21 14:53:23.038970,19.719,239.8,36.75,0.768,4.532,50.059,Three,OK
MTR0000073,1148,2025-02-23 15:26:00.186227,6.965,226.95,23.8,0.963,6.956,50.464,Three,OK
MTR0000073,1744,2025-05-09 17:13:31.955611,48.717,213.06,36.41,0.792,4.214,49.82,Single,OK
MTR0000074,209,2025-07-03 23:49:41.076168,38.001,240.24,29.14,0.752,0.26,49.94,Single,OK
MTR0000074,2130,2025-07-27 17:38:53.432876,41.923,223.3,26.02,0.982,8.163,50.458,Single,OK
MTR0000074,2591,2025-06-28 16:19:20.784430,49.329,234.25,32.77,0.782,7.37,50.46,Single,OK
MTR0000075,319,2025-04-20 14:03:16.191522,20.586,247.01,38.95,0.891,3.276,50.393,Single,OK
MTR0000075,660,2025-10-04 09:48:28.646979,10.565,218.1,25.05,0.891,6.294,50.223,Single,CHECK
MTR0000075,1229,2025-10-14 11:50:01.089957,16.351,235.56,33.97,0.766,7.67,49.617,Single,OK
MTR0000075,1252,2025-08-14 03:49:55.556302,14.974,249.19,23.35,0.854,7.483,50.109,Single,OK
MTR0000075,1525,2025-04-16 16:46:15.915075,36.372,222.48,21.35,0.781,4.875,49.709,Single,OK
MTR0000075,1940,2025-02-11 05:25:52.645511,48.035,240.75,24.54,0.998,9.428,49.959,Three,OK
MTR0000075,2288,2025-04-21 02:51:11.800576,16.633,243.91,38.36,0.819,2.877,49.768,Three,OK
MTR0000076,712,2025-06-03 15:31:42.249687,19.918,221.85,34.36,0.968,1.065,49.725,Single,OK
MTR0000076,795,2025-03-31 04:05:24.262728,16.764,223.94,35.27,0.768,4.242,49.591,Three,OK
MTR0000076,875,2025-11-15 20:36:42.755079,14.358,216.22,26.56,0.984,3.8,49.941,Three,CHECK
MTR0000076,1202,2025-04-03 05:33:58.272848,25.412,238.97,39.75,0.801,1.654,49.667,Single,OK
MTR0000076,2433,2025-06-15 09:16:35.262267,10.863,241.73,30.69,0.889,5.689,50.304,Single,OK
MTR0000077,759,2025-08-07 01:55:27.081141,40.613,217.32,26.75,1.0,0.844,49.869,Three,OK
MTR0000077,980,2025-05-24 05:02:02.016849,19.605,212.12,32.8,0.817,9.41,50.074,Single,OK
MTR0000077,2141,2025-01-29 15:37:51.235618,32.279,223.91,21.19,0.904,0.951,50.416,Single,OK
MTR0000077,2597,2025-01-26 21:27:27.104282,29.252,244.02,23.43,0.78,6.818,49.695,Single,OK
MTR0000077,2987,2025-01-25 18:54:39.883041,28.295,220.94,25.13,0.842,4.685,50.418,Three,OK
